"Section","Title","Venue","Link"
"Cybersecurity Evaluation Benchmarks","SecLens: Role-Specific Evaluation of LLMs for Security Vulnerability Detection","arXiv","https://arxiv.org/abs/2604.01637"
"Cybersecurity Evaluation Benchmarks","CyberThreat-Eval: Can Large Language Models Automate Real-World Threat Research?","TMLR","https://arxiv.org/abs/2603.09452v1"
"Cybersecurity Evaluation Benchmarks","AthenaBench: A Dynamic Benchmark for Evaluating LLMs in Cyber Threat Intelligence","arxiv","https://arxiv.org/pdf/2511.01144"
"Cybersecurity Evaluation Benchmarks","PACEbench: A Framework for Evaluating Practical AI Cyber-Exploitation Capabilities","arxiv","https://arxiv.org/abs/2510.11688"
"Cybersecurity Evaluation Benchmarks","SecureAgentBench: Benchmarking Secure Code Generation under Realistic Vulnerability Scenarios","arxiv","https://arxiv.org/pdf/2509.22097"
"Cybersecurity Evaluation Benchmarks","CyberSOCEval: Benchmarking LLMs Capabilities for Malware Analysis and Threat Intelligence Reasoning","arxiv","https://arxiv.org/pdf/2509.20166"
"Cybersecurity Evaluation Benchmarks","AQUA-LLM: Evaluating Accuracy, Quantization, and Adversarial Robustness Trade-offs in LLMs for Cybersecurity Question Answering","arxiv","https://arxiv.org/pdf/2509.13514"
"Cybersecurity Evaluation Benchmarks","AICrypto: A Comprehensive Benchmark For Evaluating Cryptography Capabilities of Large Language Models","arxiv","https://arxiv.org/pdf/2507.09580"
"Cybersecurity Evaluation Benchmarks","ExCyTIn-Bench: Evaluating LLM agents on Cyber Threat Investigation","arxiv","https://arxiv.org/pdf/2507.14201"
"Cybersecurity Evaluation Benchmarks","DefenderBench: A Toolkit for Evaluating Language Agents in Cybersecurity Environments","arxiv","https://arxiv.org/pdf/2506.00739"
"Cybersecurity Evaluation Benchmarks","CyberGym: Evaluating AI Agents Cybersecurity Capabilities with Real-World Vulnerabilities at Scale","arxiv","https://arxiv.org/pdf/2506.02548"
"Cybersecurity Evaluation Benchmarks","DFIR-Metric: A Benchmark Dataset for Evaluating Large Language Models in Digital Forensics and Incident Response","arxiv","https://arxiv.org/pdf/2505.19973"
"Cybersecurity Evaluation Benchmarks","VADER: A Human-Evaluated Benchmark for Vulnerability Assessment, Detection, Explanation, and Remediation","arxiv","https://arxiv.org/pdf/2505.19395"
"Cybersecurity Evaluation Benchmarks","BinMetric: A Comprehensive Binary Analysis Benchmark for Large Language Models","arxiv","https://arxiv.org/pdf/2505.07360"
"Cybersecurity Evaluation Benchmarks","The Digital Cybersecurity Expert: How Far Have We Come?","arxiv","https://arxiv.org/pdf/2504.11783"
"Cybersecurity Evaluation Benchmarks","On Benchmarking Code LLMs for Android Malware Analysis","arxiv","https://arxiv.org/pdf/2504.00694"
"Cybersecurity Evaluation Benchmarks","CVE-Bench: A Benchmark for AI Agents Ability to Exploit Real-World Web Application Vulnerabilities","arxiv","https://arxiv.org/pdf/2503.17332"
"Cybersecurity Evaluation Benchmarks","Benchmarking LLMs and LLM-based Agents in Practical Vulnerability Detection for Code Repositories","arxiv","https://arxiv.org/pdf/2503.03586"
"Cybersecurity Evaluation Benchmarks","AttackSeqBench: Benchmarking Large Language Models Understanding of Sequential Patterns in Cyber Attacks","arxiv","https://arxiv.org/pdf/2503.03170"
"Cybersecurity Evaluation Benchmarks","CyberLLMInstruct: A New Dataset for Analysing Safety of Fine-Tuned LLMs Using Cyber Security Data","arxiv","https://arxiv.org/pdf/2503.09334"
"Cybersecurity Evaluation Benchmarks","Primus: A Pioneering Collection of Open-Source Datasets for Cybersecurity LLM Training","arXiv","https://arxiv.org/pdf/2502.11191"
"Cybersecurity Evaluation Benchmarks","ITBench: Evaluating AI Agents across Diverse Real-World IT Automation Tasks","arXiv","https://arxiv.org/pdf/2502.05352"
"Cybersecurity Evaluation Benchmarks","SecBench: A Comprehensive Multi-Dimensional Benchmarking Dataset for LLMs in Cybersecurity","arXiv","https://arxiv.org/pdf/2412.20787"
"Cybersecurity Evaluation Benchmarks","AI Cyber Risk Benchmark: Automated Exploitation Capabilities","arXiv","https://arxiv.org/pdf/2410.21939"
"Cybersecurity Evaluation Benchmarks","CS-Eval: A Comprehensive Large Language Model Benchmark for CyberSecurity","arXiv","https://arxiv.org/pdf/2411.16239"
"Cybersecurity Evaluation Benchmarks","AttackER: Towards Enhancing Cyber-Attack Attribution with a Named Entity Recognition Dataset","arXiv","https://arxiv.org/pdf/2408.05149"
"Cybersecurity Evaluation Benchmarks","CYBERSECEVAL 3: Advancing the Evaluation of Cybersecurity Risks and Capabilities in Large Language Models","arXiv","https://arxiv.org/pdf/2408.01605"
"Cybersecurity Evaluation Benchmarks","eyeballvul: a future-proof benchmark for vulnerability detection in the wild","arXiv","https://arxiv.org/pdf/2407.08708"
"Cybersecurity Evaluation Benchmarks","NYU CTF Dataset: A Scalable Open-Source Benchmark Dataset for Evaluating LLMs in Offensive Security","arXiv","https://arxiv.org/pdf/2406.05590"
"Cybersecurity Evaluation Benchmarks","SECURE: Benchmarking Generative Large Language Models for Cybersecurity Advisory","arXiv","https://arxiv.org/pdf/2405.20441"
"Cybersecurity Evaluation Benchmarks","Assessing Cybersecurity Vulnerabilities in Code Large Language Models","arXiv","https://arxiv.org/pdf/2404.18567"
"Cybersecurity Evaluation Benchmarks","Can LLMs Understand Computer Networks? Towards a Virtual System Administrator","arXiv","https://arxiv.org/pdf/2404.12689"
"Cybersecurity Evaluation Benchmarks","LLMSecEval: A Dataset of Natural Language Prompts for Security Evaluations","IEEE/ACM International Conference on Mining Software Repositories","https://arxiv.org/abs/2303.09384"
"Cybersecurity Evaluation Benchmarks","OpsEval: A Comprehensive IT Operations Benchmark Suite for Large Language Models","arXiv","https://arxiv.org/abs/2310.07637"
"Cybersecurity Evaluation Benchmarks","Can llms patch security issues?","arXiv","https://arxiv.org/abs/2312.00024"
"Cybersecurity Evaluation Benchmarks","CyberMetric: A Benchmark Dataset for Evaluating Large Language Models Knowledge in Cybersecurity","arXiv","https://arxiv.org/abs/2402.07688"
"Cybersecurity Evaluation Benchmarks","DebugBench: Evaluating Debugging Capability of Large Language Models","ACL Findings","https://arxiv.org/abs/2401.04621"
"Cybersecurity Evaluation Benchmarks","Securityeval dataset: mining vulnerability examples to evaluate machine learning-based code generation techniques.","Proceedings of the 1st International Workshop on Mining Software Repositories Applications for Privacy and Security","https://dl.acm.org/doi/10.1145/3549035.3561184"
"Cybersecurity Evaluation Benchmarks","SecQA: A Concise Question-Answering Dataset for Evaluating Large Language Models in Computer Security","arXiv","https://arxiv.org/abs/2312.15838v1"
"Cybersecurity Evaluation Benchmarks","Purple Llama CyberSecEval: A Secure Coding Benchmark for Language Models","arXiv","https://arxiv.org/abs/2312.04724"
"Cybersecurity Evaluation Benchmarks","An empirical study of netops capability of pre-trained large language models.","arXiv","https://arxiv.org/abs/2309.05557"
"Fine-tuned Domain LLMs for Cybersecurity","RedSage: A Cybersecurity Generalist LLM","arxiv","https://arxiv.org/pdf/2601.22159"
"Fine-tuned Domain LLMs for Cybersecurity","Llama-3.1-FoundationAI-SecurityLLM-Reasoning-8B Technical Report","arxiv","https://arxiv.org/pdf/2601.21051"
"Fine-tuned Domain LLMs for Cybersecurity","Large Language Models for Cyber Security","arxiv","https://arxiv.org/pdf/2511.04508"
"Fine-tuned Domain LLMs for Cybersecurity","Toward Cybersecurity-Expert Small Language Models","arxiv","https://arxiv.org/pdf/2510.14113"
"Fine-tuned Domain LLMs for Cybersecurity","Llama-3.1-FoundationAI-SecurityLLM-8B-Instruct Technical Report","arxiv","https://arxiv.org/pdf/2508.01059"
"Fine-tuned Domain LLMs for Cybersecurity","Cyber-Zero: Training Cybersecurity Agents without Runtime","arxiv","https://arxiv.org/pdf/2508.00910"
"Fine-tuned Domain LLMs for Cybersecurity","PhishIntentionLLM: Uncovering Phishing Website Intentions through Multi-Agent Retrieval-Augmented Generation","arxiv","https://arxiv.org/pdf/2507.15419"
"Fine-tuned Domain LLMs for Cybersecurity","Less Data, More Security: Advancing Cybersecurity LLMs Specialization via Resource-Efficient Domain-Adaptive Continuous Pre-training with Minimal Tokens","arxiv","https://arxiv.org/pdf/2507.02964"
"Fine-tuned Domain LLMs for Cybersecurity","Large Language Model-driven Security Assistant for Internet of Things via Chain-of-Thought","arxiv","https://arxiv.org/pdf/2505.06307"
"Fine-tuned Domain LLMs for Cybersecurity","Llama-3.1-FoundationAI-SecurityLLM-Base-8B Technical Report","arxiv","https://arxiv.org/pdf/2504.21039"
"Fine-tuned Domain LLMs for Cybersecurity","TrafficLLM: Enhancing Large Language Models for Network Traffic Analysis with Generic Traffic Representation","arxiv","https://arxiv.org/abs/2504.04222"
"Fine-tuned Domain LLMs for Cybersecurity","CyberBOT: Towards Reliable Cybersecurity Education via Ontology-Grounded Retrieval Augmented Generation","arxiv","https://arxiv.org/pdf/2504.00389"
"Fine-tuned Domain LLMs for Cybersecurity","Phishsense-1B: A Technical Perspective on an AI-Powered Phishing Detection Model","arxiv","https://arxiv.org/pdf/2503.10944"
"Fine-tuned Domain LLMs for Cybersecurity","ELTEX: A Framework for Domain-Driven Synthetic Data Generation","arXiv","https://arxiv.org/abs/2503.15055"
